Checking Status,Credit History,Purpose,Saving Status,Employment,Personal Status,Job,Age and Credit,Class
no checking,existing paid,new car,unknown,unemployed,male single,high qualif/self emp/mgmt,1086.42,good
no checking,existing paid,furniture/equipment,<100,<1,male mar/wid/div/sep,unskilled resident,659.19,bad
no checking,existing paid,radio/tv,100<=X<500,>=7,male single,skilled,1122.51,bad
0<=X<200,critical/other existing credit,business,<100,unemployed,male mar/wid/div/sep,unemp/unskilled non res,1436,good
<0,delayed previously,business,<100,4<=X<7,male single,skilled,514.8,bad
0<=X<200,existing paid,used car,500<=X<1000,<1,female div/sep/mar,skilled,1151.64,bad
no checking,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,high qualif/self emp/mgmt,2853.24,bad
<0,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,548.97,good
<0,critical/other existing credit,radio/tv,>=1000,>=7,female div/sep/mar,high qualif/self emp/mgmt,701.67,good
>=200,critical/other existing credit,radio/tv,unknown,>=7,male single,unskilled resident,1791.44,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,unskilled resident,426.98,good
<0,existing paid,new car,<100,1<=X<4,male single,unskilled resident,1802.7,bad
0<=X<200,existing paid,furniture/equipment,100<=X<500,>=7,male single,skilled,920.7,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male mar/wid/div/sep,skilled,522,good
0<=X<200,delayed previously,new car,<100,1<=X<4,male mar/wid/div/sep,skilled,1105.91,good
no checking,existing paid,new car,unknown,1<=X<4,male single,skilled,1031.24,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,skilled,838.95,bad
0<=X<200,existing paid,repairs,<100,<1,male mar/wid/div/sep,unskilled resident,99.88,good
0<=X<200,existing paid,radio/tv,unknown,1<=X<4,female div/sep/mar,skilled,445.9,good
0<=X<200,critical/other existing credit,radio/tv,500<=X<1000,1<=X<4,male single,unskilled resident,579.6,bad
no checking,existing paid,radio/tv,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,1926.72,good
no checking,existing paid,radio/tv,unknown,4<=X<7,male mar/wid/div/sep,skilled,2078.14,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,unskilled resident,1575.6,good
0<=X<200,existing paid,repairs,100<=X<500,1<=X<4,male single,skilled,333.08,good
no checking,existing paid,new car,<100,1<=X<4,male single,unskilled resident,3178.99,good
<0,no credits/all paid,new car,<100,unemployed,female div/sep/mar,unemp/unskilled non res,345.97,bad
<0,existing paid,business,<100,>=7,male single,skilled,2626.92,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,934.23,good
>=200,existing paid,radio/tv,500<=X<1000,1<=X<4,female div/sep/mar,unskilled resident,717.06,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,481.92,good
0<=X<200,delayed previously,business,unknown,>=7,male single,skilled,1019.34,good
no checking,delayed previously,new car,<100,>=7,male single,unskilled resident,1192.86,bad
0<=X<200,no credits/all paid,new car,100<=X<500,1<=X<4,male mar/wid/div/sep,skilled,316,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,skilled,4109.14,bad
no checking,existing paid,business,<100,unemployed,male single,high qualif/self emp/mgmt,1598.52,bad
>=200,existing paid,new car,100<=X<500,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,818.44,good
<0,existing paid,used car,<100,1<=X<4,male single,skilled,2139.54,bad
no checking,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,unskilled resident,608.4,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,358.25,good
>=200,no credits/all paid,business,<100,<1,male mar/wid/div/sep,skilled,2075.37,good
no checking,existing paid,radio/tv,100<=X<500,unemployed,female div/sep/mar,skilled,901.76,good
<0,existing paid,used car,<100,unemployed,male single,high qualif/self emp/mgmt,1907.91,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,unskilled resident,836.64,good
no checking,critical/other existing credit,education,unknown,<1,male single,unskilled resident,1319.05,good
no checking,no credits/all paid,radio/tv,100<=X<500,>=7,male single,unskilled resident,533.46,good
<0,existing paid,radio/tv,unknown,4<=X<7,male mar/wid/div/sep,unskilled resident,445.28,good
<0,existing paid,furniture/equipment,<100,unemployed,male single,high qualif/self emp/mgmt,1187.7,good
no checking,existing paid,new car,unknown,>=7,male single,skilled,1195,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,unskilled resident,538.16,good
<0,existing paid,used car,<100,1<=X<4,male mar/wid/div/sep,high qualif/self emp/mgmt,1542.8,good
no checking,existing paid,radio/tv,<100,>=7,male single,skilled,305.52,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,skilled,424.35,bad
0<=X<200,critical/other existing credit,used car,100<=X<500,unemployed,male single,skilled,1235.52,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,1309.22,bad
<0,delayed previously,new car,<100,1<=X<4,male single,skilled,2581.1,bad
0<=X<200,critical/other existing credit,new car,<100,unemployed,male mar/wid/div/sep,high qualif/self emp/mgmt,1465.52,bad
0<=X<200,existing paid,new car,<100,<1,female div/sep/mar,skilled,323.75,bad
<0,existing paid,business,<100,<1,female div/sep/mar,skilled,1033.92,bad
<0,critical/other existing credit,new car,<100,>=7,male single,unskilled resident,719.4,bad
<0,existing paid,radio/tv,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,410.24,bad
0<=X<200,existing paid,used car,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,5534.76,bad
<0,delayed previously,business,<100,>=7,male single,skilled,4306.68,bad
0<=X<200,critical/other existing credit,radio/tv,<100,<1,male single,unskilled resident,1186.5,bad
>=200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,777,bad
<0,critical/other existing credit,used car,<100,>=7,female div/sep/mar,unskilled resident,3562.94,bad
0<=X<200,delayed previously,new car,<100,>=7,male single,skilled,1268.25,bad
0<=X<200,existing paid,radio/tv,unknown,unemployed,male single,high qualif/self emp/mgmt,3363.36,bad
<0,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,1432.67,bad
0<=X<200,no credits/all paid,business,<100,>=7,male single,high qualif/self emp/mgmt,1191.33,bad
0<=X<200,no credits/all paid,business,<100,1<=X<4,male single,skilled,3605.25,bad
no checking,existing paid,education,<100,1<=X<4,male single,skilled,673.03,bad
<0,existing paid,education,unknown,>=7,male single,high qualif/self emp/mgmt,790.8,bad
<0,existing paid,radio/tv,<100,<1,male single,skilled,1348.1,bad
no checking,existing paid,radio/tv,unknown,<1,female div/sep/mar,skilled,2614.92,bad
0<=X<200,existing paid,education,100<=X<500,1<=X<4,male single,skilled,5927.64,bad
<0,no credits/all paid,repairs,<100,4<=X<7,male single,skilled,310.24,bad
no checking,critical/other existing credit,radio/tv,unknown,>=7,female div/sep/mar,unskilled resident,263.01,bad
0<=X<200,no credits/all paid,business,<100,<1,male single,skilled,9248.1,bad
0<=X<200,critical/other existing credit,other,<100,1<=X<4,male single,high qualif/self emp/mgmt,4655.82,bad
no checking,no credits/all paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,2518.62,bad
no checking,critical/other existing credit,new car,<100,1<=X<4,female div/sep/mar,skilled,1963.75,bad
<0,existing paid,radio/tv,unknown,4<=X<7,female div/sep/mar,high qualif/self emp/mgmt,2152.2,bad
<0,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,female div/sep/mar,skilled,984.63,bad
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,458.75,bad
0<=X<200,existing paid,furniture/equipment,unknown,<1,female div/sep/mar,skilled,519.48,bad
0<=X<200,existing paid,repairs,<100,1<=X<4,male single,skilled,191.7,bad
<0,critical/other existing credit,new car,<100,1<=X<4,female div/sep/mar,skilled,1014.71,bad
<0,delayed previously,education,<100,1<=X<4,male single,skilled,1997.23,bad
0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,unskilled resident,505.56,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,541.64,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,256.4,bad
<0,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,skilled,373.23,bad
0<=X<200,critical/other existing credit,business,<100,>=7,male mar/wid/div/sep,skilled,599.85,bad
<0,no credits/all paid,new car,<100,>=7,male single,skilled,313.5,bad
0<=X<200,delayed previously,furniture/equipment,<100,unemployed,female div/sep/mar,high qualif/self emp/mgmt,701.76,bad
<0,delayed previously,education,<100,<1,male single,skilled,887.64,bad
no checking,no credits/all paid,used car,unknown,unemployed,female div/sep/mar,high qualif/self emp/mgmt,3967.05,bad
no checking,delayed previously,business,<100,<1,male mar/wid/div/sep,skilled,2680.16,bad
0<=X<200,delayed previously,business,<100,1<=X<4,male mar/wid/div/sep,high qualif/self emp/mgmt,1336.5,bad
<0,no credits/all paid,new car,unknown,1<=X<4,male single,unskilled resident,658.8,bad
0<=X<200,critical/other existing credit,new car,<100,>=7,male single,skilled,318.24,bad
0<=X<200,no credits/all paid,used car,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,3795.46,bad
<0,existing paid,radio/tv,100<=X<500,4<=X<7,male mar/wid/div/sep,skilled,134.8,bad
no checking,existing paid,business,>=1000,1<=X<4,male single,high qualif/self emp/mgmt,2479.14,bad
0<=X<200,no credits/all paid,business,100<=X<500,4<=X<7,male single,unskilled resident,1306.96,bad
0<=X<200,existing paid,business,<100,1<=X<4,male single,skilled,1409.4,bad
0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,male single,skilled,636.51,bad
0<=X<200,critical/other existing credit,education,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,510.34,bad
0<=X<200,existing paid,furniture/equipment,100<=X<500,<1,female div/sep/mar,skilled,256.77,bad
0<=X<200,delayed previously,furniture/equipment,<100,>=7,male mar/wid/div/sep,high qualif/self emp/mgmt,1718.8,bad
<0,existing paid,retraining,<100,4<=X<7,male mar/wid/div/sep,skilled,189.42,bad
<0,no credits/all paid,business,<100,unemployed,male single,skilled,2646.5,bad
>=200,delayed previously,business,<100,>=7,male single,high qualif/self emp/mgmt,1259.28,bad
0<=X<200,existing paid,radio/tv,>=1000,4<=X<7,male single,skilled,2959.47,bad
<0,existing paid,furniture/equipment,<100,>=7,male single,high qualif/self emp/mgmt,4168.45,bad
no checking,existing paid,radio/tv,<100,4<=X<7,male single,skilled,325.16,bad
>=200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,1094.6,bad
<0,existing paid,radio/tv,<100,unemployed,male single,high qualif/self emp/mgmt,546.9,bad
0<=X<200,existing paid,new car,unknown,unemployed,male single,unemp/unskilled non res,3347.65,bad
0<=X<200,existing paid,business,100<=X<500,>=7,male mar/wid/div/sep,unskilled resident,1687.87,bad
<0,existing paid,new car,unknown,>=7,female div/sep/mar,skilled,265.35,bad
<0,no credits/all paid,used car,<100,>=7,male single,skilled,1105.2,bad
no checking,existing paid,radio/tv,<100,unemployed,female div/sep/mar,skilled,95.26,bad
0<=X<200,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,516,bad
<0,no credits/all paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,623.21,bad
0<=X<200,existing paid,radio/tv,<100,>=7,male single,skilled,296.74,bad
<0,existing paid,new car,<100,>=7,male mar/wid/div/sep,high qualif/self emp/mgmt,4040.1,bad
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,skilled,856.8,bad
<0,existing paid,repairs,<100,<1,male mar/wid/div/sep,unskilled resident,4079.32,bad
no checking,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,1475.52,bad
<0,delayed previously,radio/tv,<100,<1,male mar/wid/div/sep,skilled,491.52,bad
0<=X<200,existing paid,used car,<100,<1,male mar/wid/div/sep,high qualif/self emp/mgmt,2631.44,bad
0<=X<200,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,2589.6,bad
0<=X<200,no credits/all paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,1597.68,bad
>=200,critical/other existing credit,new car,unknown,4<=X<7,male single,unskilled resident,497.28,bad
no checking,critical/other existing credit,new car,500<=X<1000,1<=X<4,male single,skilled,4455.88,bad
<0,existing paid,radio/tv,100<=X<500,<1,male mar/wid/div/sep,unskilled resident,239.91,bad
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,296.88,bad
0<=X<200,existing paid,new car,<100,4<=X<7,male mar/wid/div/sep,unskilled resident,171.25,bad
<0,no credits/all paid,furniture/equipment,<100,>=7,male single,skilled,851.26,bad
0<=X<200,critical/other existing credit,new car,<100,unemployed,male mar/wid/div/sep,high qualif/self emp/mgmt,1189.72,bad
<0,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,skilled,620.16,bad
no checking,critical/other existing credit,education,100<=X<500,1<=X<4,female div/sep/mar,skilled,559.2,bad
0<=X<200,existing paid,new car,100<=X<500,<1,female div/sep/mar,high qualif/self emp/mgmt,1777.92,bad
no checking,critical/other existing credit,used car,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,2781.6,bad
<0,no credits/all paid,furniture/equipment,<100,>=7,male single,skilled,945.3,bad
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,high qualif/self emp/mgmt,1488.96,bad
<0,existing paid,furniture/equipment,unknown,1<=X<4,female div/sep/mar,skilled,306,bad
0<=X<200,critical/other existing credit,education,>=1000,>=7,male single,skilled,363.52,bad
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,278.11,bad
<0,no credits/all paid,radio/tv,<100,1<=X<4,male single,skilled,1735.72,bad
0<=X<200,existing paid,new car,<100,<1,male single,unskilled resident,286.58,bad
no checking,delayed previously,radio/tv,<100,1<=X<4,male single,high qualif/self emp/mgmt,1160.38,bad
<0,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,skilled,553.38,bad
<0,existing paid,furniture/equipment,<100,unemployed,male single,unemp/unskilled non res,618.25,bad
<0,existing paid,furniture/equipment,<100,>=7,male single,skilled,1447.32,bad
0<=X<200,no credits/all paid,other,100<=X<500,>=7,female div/sep/mar,high qualif/self emp/mgmt,8869.2,bad
<0,no credits/all paid,business,<100,4<=X<7,female div/sep/mar,skilled,2843.45,bad
0<=X<200,existing paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,8161.26,bad
0<=X<200,existing paid,used car,<100,unemployed,female div/sep/mar,high qualif/self emp/mgmt,4930.88,bad
0<=X<200,existing paid,new car,<100,>=7,male mar/wid/div/sep,skilled,562.58,bad
no checking,delayed previously,business,<100,<1,male single,skilled,2334.96,bad
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,skilled,448.58,bad
>=200,critical/other existing credit,new car,500<=X<1000,4<=X<7,male mar/wid/div/sep,skilled,262.92,bad
no checking,critical/other existing credit,business,<100,unemployed,male single,high qualif/self emp/mgmt,962.64,bad
<0,existing paid,new car,unknown,1<=X<4,female div/sep/mar,skilled,483.35,bad
<0,existing paid,new car,<100,<1,male single,unskilled resident,851.07,bad
0<=X<200,existing paid,new car,unknown,1<=X<4,female div/sep/mar,skilled,343.86,bad
0<=X<200,existing paid,furniture/equipment,unknown,>=7,female div/sep/mar,skilled,690.5,bad
<0,critical/other existing credit,repairs,<100,unemployed,female div/sep/mar,unemp/unskilled non res,654.5,bad
0<=X<200,existing paid,other,<100,1<=X<4,male single,high qualif/self emp/mgmt,3851.2,bad
0<=X<200,existing paid,radio/tv,unknown,1<=X<4,male mar/wid/div/sep,skilled,371,bad
>=200,no credits/all paid,business,<100,<1,female div/sep/mar,unemp/unskilled non res,158.34,bad
no checking,existing paid,education,<100,>=7,male single,unskilled resident,2947.9,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,1528.8,bad
<0,existing paid,new car,<100,<1,female div/sep/mar,skilled,626.28,bad
0<=X<200,delayed previously,repairs,>=1000,1<=X<4,male mar/wid/div/sep,skilled,922.32,bad
<0,existing paid,new car,<100,4<=X<7,male single,skilled,1493.27,bad
<0,existing paid,used car,<100,>=7,male single,skilled,1185.1,bad
<0,delayed previously,radio/tv,<100,<1,female div/sep/mar,unskilled resident,481.11,bad
0<=X<200,existing paid,radio/tv,100<=X<500,<1,male mar/wid/div/sep,skilled,680.24,bad
<0,existing paid,education,<100,<1,female div/sep/mar,skilled,103.04,bad
<0,existing paid,new car,<100,1<=X<4,male single,unskilled resident,183.12,bad
0<=X<200,critical/other existing credit,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,410.85,bad
<0,no credits/all paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,809.64,bad
0<=X<200,delayed previously,new car,<100,unemployed,male single,high qualif/self emp/mgmt,568.23,bad
0<=X<200,no credits/all paid,business,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,3493.56,bad
<0,existing paid,furniture/equipment,unknown,1<=X<4,male mar/wid/div/sep,skilled,599.2,bad
0<=X<200,existing paid,furniture/equipment,100<=X<500,<1,male single,high qualif/self emp/mgmt,2619.86,bad
<0,existing paid,new car,<100,<1,female div/sep/mar,skilled,843.21,bad
0<=X<200,critical/other existing credit,radio/tv,100<=X<500,<1,male single,skilled,462.08,bad
<0,existing paid,new car,<100,<1,female div/sep/mar,skilled,289.68,bad
no checking,existing paid,new car,unknown,1<=X<4,male single,unskilled resident,353.43,bad
0<=X<200,no credits/all paid,new car,100<=X<500,unemployed,male single,high qualif/self emp/mgmt,2329,bad
<0,existing paid,new car,<100,4<=X<7,male single,skilled,197.34,bad
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,skilled,1639.21,bad
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,765.6,bad
<0,no credits/all paid,furniture/equipment,<100,1<=X<4,male single,skilled,3773.07,bad
<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,713.62,bad
0<=X<200,existing paid,new car,100<=X<500,1<=X<4,female div/sep/mar,skilled,736.68,bad
>=200,critical/other existing credit,education,<100,<1,male mar/wid/div/sep,skilled,765.27,bad
<0,existing paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,3260.46,bad
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,skilled,352.82,bad
<0,existing paid,furniture/equipment,unknown,>=7,male single,skilled,1968.5,bad
>=200,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,973.76,bad
<0,delayed previously,new car,<100,unemployed,male single,skilled,573.19,bad
<0,no credits/all paid,radio/tv,<100,1<=X<4,female div/sep/mar,unskilled resident,150.24,bad
<0,existing paid,radio/tv,<100,4<=X<7,male mar/wid/div/sep,skilled,2379.66,bad
0<=X<200,existing paid,radio/tv,<100,<1,male single,skilled,292.82,bad
0<=X<200,no credits/all paid,new car,100<=X<500,<1,female div/sep/mar,skilled,637.84,bad
no checking,no credits/all paid,new car,unknown,1<=X<4,female div/sep/mar,skilled,1450.87,bad
<0,no credits/all paid,furniture/equipment,<100,4<=X<7,male single,skilled,959.04,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,male single,unskilled resident,5976.8,bad
<0,no credits/all paid,radio/tv,<100,4<=X<7,male single,unskilled resident,371.04,bad
0<=X<200,existing paid,new car,unknown,1<=X<4,male single,skilled,4583.93,bad
<0,existing paid,new car,<100,4<=X<7,male mar/wid/div/sep,skilled,493.92,bad
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,2094.98,bad
<0,existing paid,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,743.82,bad
0<=X<200,critical/other existing credit,new car,<100,<1,male mar/wid/div/sep,skilled,761.4,bad
0<=X<200,critical/other existing credit,new car,<100,>=7,male single,skilled,316.8,bad
0<=X<200,existing paid,repairs,<100,<1,male single,unskilled resident,786.72,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,407.8,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,571.99,bad
<0,critical/other existing credit,furniture/equipment,<100,>=7,male single,skilled,1347.6,bad
0<=X<200,existing paid,new car,<100,1<=X<4,female div/sep/mar,unskilled resident,543.6,bad
<0,no credits/all paid,other,unknown,>=7,male single,high qualif/self emp/mgmt,5432,bad
0<=X<200,no credits/all paid,new car,100<=X<500,<1,female div/sep/mar,unskilled resident,297.92,bad
<0,existing paid,new car,<100,4<=X<7,female div/sep/mar,skilled,331.66,bad
0<=X<200,no credits/all paid,business,<100,1<=X<4,male single,unskilled resident,1526.76,bad
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,skilled,860.25,bad
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,275.4,bad
0<=X<200,no credits/all paid,education,<100,4<=X<7,female div/sep/mar,unskilled resident,624.58,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,937.72,bad
0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,female div/sep/mar,skilled,1335.5,bad
<0,existing paid,furniture/equipment,100<=X<500,unemployed,female div/sep/mar,skilled,163.02,bad
>=200,existing paid,new car,100<=X<500,>=7,female div/sep/mar,unskilled resident,595.2,bad
no checking,delayed previously,furniture/equipment,<100,4<=X<7,female div/sep/mar,skilled,397.76,bad
0<=X<200,existing paid,furniture/equipment,100<=X<500,1<=X<4,female div/sep/mar,skilled,722.61,bad
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,skilled,489.6,bad
no checking,existing paid,business,unknown,1<=X<4,male mar/wid/div/sep,skilled,1487.32,bad
<0,existing paid,radio/tv,<100,1<=X<4,male single,skilled,1690,bad
0<=X<200,no credits/all paid,new car,100<=X<500,4<=X<7,male single,skilled,416.73,bad
<0,no credits/all paid,furniture/equipment,<100,1<=X<4,male single,skilled,683.32,bad
no checking,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,376.2,bad
0<=X<200,existing paid,new car,<100,<1,female div/sep/mar,unskilled resident,338.75,bad
<0,delayed previously,radio/tv,<100,4<=X<7,male single,skilled,1136.2,bad
<0,existing paid,education,<100,unemployed,female div/sep/mar,unemp/unskilled non res,202.5,bad
no checking,existing paid,education,100<=X<500,1<=X<4,male single,high qualif/self emp/mgmt,1849.2,bad
no checking,delayed previously,business,unknown,<1,male single,skilled,2154.6,bad
no checking,existing paid,new car,500<=X<1000,1<=X<4,female div/sep/mar,skilled,3603.6,bad
>=200,existing paid,new car,<100,4<=X<7,male single,skilled,359.86,bad
<0,existing paid,education,<100,1<=X<4,male single,unskilled resident,273.6,bad
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,711.14,bad
<0,existing paid,new car,<100,>=7,male single,skilled,1036.35,bad
0<=X<200,delayed previously,new car,100<=X<500,>=7,male single,high qualif/self emp/mgmt,3396.12,bad
0<=X<200,existing paid,new car,<100,>=7,male single,unskilled resident,364.08,bad
<0,existing paid,new car,unknown,1<=X<4,male mar/wid/div/sep,skilled,207,bad
<0,critical/other existing credit,new car,<100,>=7,male single,skilled,2082.49,bad
no checking,delayed previously,business,500<=X<1000,<1,male single,unskilled resident,1057.8,bad
0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,male mar/wid/div/sep,skilled,1342.8,bad
no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,female div/sep/mar,unskilled resident,325.67,bad
<0,critical/other existing credit,used car,<100,>=7,male single,skilled,2912.26,bad
0<=X<200,existing paid,new car,100<=X<500,4<=X<7,male single,skilled,1574.4,bad
0<=X<200,no credits/all paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,742.25,bad
<0,no credits/all paid,education,<100,>=7,female div/sep/mar,skilled,419.3,bad
0<=X<200,existing paid,new car,<100,4<=X<7,male single,high qualif/self emp/mgmt,3787.29,bad
>=200,no credits/all paid,radio/tv,<100,<1,male single,high qualif/self emp/mgmt,454.58,bad
0<=X<200,no credits/all paid,education,>=1000,<1,female div/sep/mar,skilled,103.92,bad
<0,existing paid,new car,<100,1<=X<4,female div/sep/mar,unskilled resident,294.72,bad
no checking,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,539.7,bad
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,470.5,bad
0<=X<200,no credits/all paid,business,<100,>=7,female div/sep/mar,skilled,3785.44,bad
<0,existing paid,radio/tv,<100,1<=X<4,male single,unskilled resident,417.27,bad
0<=X<200,existing paid,used car,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,2658.8,bad
0<=X<200,no credits/all paid,business,100<=X<500,1<=X<4,female div/sep/mar,unskilled resident,1112.8,bad
<0,existing paid,new car,<100,<1,female div/sep/mar,unskilled resident,471.38,bad
<0,existing paid,new car,<100,<1,female div/sep/mar,unskilled resident,224.48,bad
no checking,delayed previously,repairs,>=1000,>=7,male single,skilled,855.25,bad
<0,existing paid,new car,unknown,4<=X<7,female div/sep/mar,skilled,411.2,bad
>=200,critical/other existing credit,radio/tv,unknown,1<=X<4,male single,skilled,495.69,bad
<0,critical/other existing credit,new car,<100,>=7,male single,skilled,241.85,bad
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,509.76,bad
no checking,critical/other existing credit,new car,unknown,>=7,male single,high qualif/self emp/mgmt,3804,bad
<0,existing paid,furniture/equipment,<100,<1,male mar/wid/div/sep,unskilled resident,963.48,bad
<0,critical/other existing credit,education,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,2016.25,bad
<0,existing paid,new car,unknown,1<=X<4,female div/sep/mar,skilled,342.75,bad
0<=X<200,critical/other existing credit,radio/tv,<100,4<=X<7,male single,skilled,1233.25,bad
0<=X<200,existing paid,new car,100<=X<500,<1,female div/sep/mar,unskilled resident,192.28,bad
0<=X<200,delayed previously,education,<100,>=7,male single,skilled,3112,bad
<0,critical/other existing credit,education,<100,1<=X<4,male single,skilled,1619.46,bad
0<=X<200,existing paid,business,<100,>=7,female div/sep/mar,skilled,463.32,bad
<0,existing paid,used car,unknown,>=7,male single,skilled,3830.61,bad
<0,existing paid,new car,<100,4<=X<7,male single,skilled,2225.04,bad
0<=X<200,no credits/all paid,new car,<100,<1,female div/sep/mar,unemp/unskilled non res,462.28,bad
<0,critical/other existing credit,used car,<100,4<=X<7,male single,skilled,2310.96,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,1647.54,bad
<0,existing paid,new car,<100,4<=X<7,male single,skilled,1808.26,bad
<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,349.7,bad
<0,existing paid,furniture/equipment,<100,>=7,male single,skilled,1111.92,bad
<0,critical/other existing credit,new car,<100,>=7,female div/sep/mar,skilled,1308.78,bad
no checking,no credits/all paid,business,<100,1<=X<4,male single,skilled,1499.4,bad
<0,existing paid,used car,unknown,>=7,male single,skilled,3917.45,bad
<0,existing paid,new car,<100,<1,female div/sep/mar,skilled,279.68,bad
<0,no credits/all paid,business,<100,>=7,male single,skilled,3426.64,bad
>=200,existing paid,radio/tv,<100,<1,female div/sep/mar,unskilled resident,581.75,bad
<0,no credits/all paid,new car,<100,1<=X<4,male single,skilled,519.36,bad
<0,existing paid,furniture/equipment,<100,4<=X<7,male single,skilled,1501.91,bad
no checking,existing paid,repairs,<100,<1,female div/sep/mar,skilled,446.89,bad
no checking,existing paid,new car,unknown,1<=X<4,male single,skilled,4597.48,bad
<0,existing paid,radio/tv,<100,>=7,male single,unskilled resident,404.13,bad
