Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Age and Credit / 100,Class
no checking,critical/other existing credit,used car,4042,unknown,4<=X<7,male single,43,skilled,1738.06,good
no checking,critical/other existing credit,radio/tv,1471,<100,1<=X<4,male single,35,skilled,514.85,good
<0,no credits/all paid,new car,1442,<100,4<=X<7,male single,32,unskilled resident,461.44,bad
no checking,delayed previously,new car,10875,<100,>=7,male single,45,skilled,4893.75,good
no checking,existing paid,new car,1474,100<=X<500,<1,male mar/wid/div/sep,33,skilled,486.42,good
no checking,existing paid,retraining,894,unknown,4<=X<7,female div/sep/mar,40,skilled,357.6,good
no checking,critical/other existing credit,furniture/equipment,3343,<100,1<=X<4,male single,28,skilled,936.04,good
<0,existing paid,new car,3959,<100,1<=X<4,female div/sep/mar,29,skilled,1148.11,bad
no checking,existing paid,new car,3577,100<=X<500,1<=X<4,male single,26,skilled,930.02,good
no checking,critical/other existing credit,used car,5804,>=1000,1<=X<4,male single,27,skilled,1567.08,good
no checking,delayed previously,business,2169,<100,1<=X<4,male mar/wid/div/sep,28,skilled,607.32,bad
<0,existing paid,radio/tv,2439,<100,<1,female div/sep/mar,35,skilled,853.65,bad
no checking,critical/other existing credit,furniture/equipment,4526,>=1000,<1,male single,32,unskilled resident,1448.32,good
no checking,existing paid,furniture/equipment,2210,<100,1<=X<4,male single,25,unskilled resident,552.5,bad
no checking,existing paid,furniture/equipment,2221,500<=X<1000,1<=X<4,female div/sep/mar,20,skilled,444.2,good
<0,existing paid,radio/tv,2389,<100,<1,female div/sep/mar,27,skilled,645.03,good
no checking,critical/other existing credit,furniture/equipment,3331,<100,>=7,male single,42,skilled,1399.02,good
no checking,existing paid,business,7409,unknown,>=7,male single,37,skilled,2741.33,good
<0,existing paid,furniture/equipment,652,<100,>=7,female div/sep/mar,24,skilled,156.48,good
no checking,delayed previously,furniture/equipment,7678,500<=X<1000,4<=X<7,female div/sep/mar,40,skilled,3071.2,good
>=200,critical/other existing credit,new car,1343,<100,>=7,male single,46,skilled,617.78,good
<0,critical/other existing credit,business,1382,100<=X<500,4<=X<7,male single,26,skilled,359.32,good
no checking,existing paid,furniture/equipment,874,unknown,<1,female div/sep/mar,24,skilled,209.76,good
<0,existing paid,furniture/equipment,3590,<100,1<=X<4,male single,29,unskilled resident,1041.1,good
0<=X<200,critical/other existing credit,new car,1322,>=1000,1<=X<4,female div/sep/mar,40,skilled,528.8,good
<0,no credits/all paid,radio/tv,1940,<100,<1,male single,36,high qualif/self emp/mgmt,698.4,good
no checking,existing paid,radio/tv,3595,<100,>=7,male single,28,skilled,1006.6,good
<0,existing paid,new car,1422,<100,<1,male single,27,high qualif/self emp/mgmt,383.94,bad
no checking,critical/other existing credit,radio/tv,6742,unknown,4<=X<7,male single,36,skilled,2427.12,good
no checking,existing paid,used car,7814,<100,4<=X<7,male single,38,high qualif/self emp/mgmt,2969.32,good
no checking,existing paid,used car,9277,unknown,1<=X<4,male mar/wid/div/sep,48,skilled,4452.96,good
0<=X<200,critical/other existing credit,new car,2181,unknown,>=7,male single,36,skilled,785.16,good
no checking,critical/other existing credit,radio/tv,1098,<100,unemployed,female div/sep/mar,65,unemp/unskilled non res,713.7,good
0<=X<200,existing paid,furniture/equipment,4057,<100,4<=X<7,male mar/wid/div/sep,43,skilled,1744.51,bad
<0,existing paid,education,795,<100,<1,female div/sep/mar,53,skilled,421.35,bad
0<=X<200,critical/other existing credit,business,2825,unknown,4<=X<7,male single,34,skilled,960.5,good
0<=X<200,existing paid,business,15672,<100,1<=X<4,male single,23,skilled,3604.56,bad
no checking,critical/other existing credit,new car,6614,<100,>=7,male single,34,high qualif/self emp/mgmt,2248.76,good
no checking,no credits/all paid,used car,7824,unknown,<1,male single,40,skilled,3129.6,good
<0,critical/other existing credit,business,2442,<100,>=7,male single,43,high qualif/self emp/mgmt,1050.06,good
no checking,critical/other existing credit,radio/tv,1829,<100,>=7,male single,46,skilled,841.34,good
<0,critical/other existing credit,new car,2171,<100,1<=X<4,male single,38,unskilled resident,824.98,good
0<=X<200,critical/other existing credit,used car,5800,<100,1<=X<4,male single,34,skilled,1972,good
no checking,critical/other existing credit,radio/tv,1169,unknown,1<=X<4,male single,29,skilled,339.01,good
no checking,delayed previously,used car,8947,unknown,4<=X<7,male single,31,high qualif/self emp/mgmt,2773.57,good
<0,existing paid,radio/tv,2606,<100,<1,female div/sep/mar,28,high qualif/self emp/mgmt,729.68,good
no checking,critical/other existing credit,furniture/equipment,1592,>=1000,4<=X<7,female div/sep/mar,35,skilled,557.2,good
no checking,existing paid,furniture/equipment,2186,unknown,4<=X<7,female div/sep/mar,33,unskilled resident,721.38,good
<0,existing paid,furniture/equipment,4153,<100,1<=X<4,male single,42,skilled,1744.26,bad
<0,critical/other existing credit,new car,2625,<100,>=7,male single,43,skilled,1128.75,bad
no checking,critical/other existing credit,new car,3485,unknown,<1,male mar/wid/div/sep,44,skilled,1533.4,good
no checking,critical/other existing credit,used car,10477,unknown,>=7,male single,42,skilled,4400.34,good
no checking,existing paid,radio/tv,1386,unknown,1<=X<4,male mar/wid/div/sep,40,skilled,554.4,good
no checking,existing paid,radio/tv,1278,<100,>=7,male single,36,high qualif/self emp/mgmt,460.08,good
<0,existing paid,radio/tv,1107,<100,1<=X<4,male single,20,high qualif/self emp/mgmt,221.4,good
<0,existing paid,new car,3763,unknown,4<=X<7,male single,24,unskilled resident,903.12,good
0<=X<200,existing paid,education,3711,unknown,1<=X<4,male mar/wid/div/sep,27,skilled,1001.97,good
no checking,delayed previously,used car,3594,<100,<1,female div/sep/mar,46,unskilled resident,1653.24,good
0<=X<200,existing paid,new car,3195,unknown,1<=X<4,female div/sep/mar,33,unskilled resident,1054.35,good
no checking,delayed previously,radio/tv,4454,<100,1<=X<4,female div/sep/mar,34,skilled,1514.36,good
0<=X<200,critical/other existing credit,furniture/equipment,4736,<100,<1,female div/sep/mar,25,unskilled resident,1184,bad
0<=X<200,existing paid,radio/tv,2991,unknown,>=7,female div/sep/mar,25,skilled,747.75,good
no checking,existing paid,business,2142,>=1000,>=7,male mar/wid/div/sep,28,skilled,599.76,good
<0,no credits/all paid,business,3161,<100,1<=X<4,male single,31,skilled,979.91,bad
0<=X<200,no credits/all paid,other,18424,<100,1<=X<4,female div/sep/mar,32,high qualif/self emp/mgmt,5895.68,bad
no checking,existing paid,used car,2848,100<=X<500,1<=X<4,male single,32,skilled,911.36,good
<0,existing paid,new car,14896,<100,>=7,male single,68,high qualif/self emp/mgmt,10129.28,bad
<0,existing paid,furniture/equipment,2359,100<=X<500,unemployed,male mar/wid/div/sep,33,skilled,778.47,bad
<0,existing paid,furniture/equipment,3345,<100,>=7,male single,39,high qualif/self emp/mgmt,1304.55,bad
no checking,critical/other existing credit,furniture/equipment,1817,<100,1<=X<4,female div/sep/mar,28,skilled,508.76,good
no checking,delayed previously,radio/tv,12749,500<=X<1000,4<=X<7,male single,37,high qualif/self emp/mgmt,4717.13,good
<0,existing paid,radio/tv,1366,<100,<1,female div/sep/mar,22,skilled,300.52,bad
0<=X<200,existing paid,new car,2002,<100,4<=X<7,male single,30,skilled,600.6,good
<0,no credits/all paid,furniture/equipment,6872,<100,<1,male mar/wid/div/sep,55,skilled,3779.6,bad
<0,no credits/all paid,new car,697,<100,<1,male single,46,skilled,320.62,bad
<0,critical/other existing credit,furniture/equipment,1049,<100,<1,female div/sep/mar,21,skilled,220.29,good
<0,existing paid,used car,10297,<100,4<=X<7,male single,39,skilled,4015.83,bad
no checking,existing paid,radio/tv,1867,unknown,>=7,male single,58,skilled,1082.86,good
<0,delayed previously,new car,1344,<100,1<=X<4,male single,43,unskilled resident,577.92,good
<0,existing paid,furniture/equipment,1747,<100,<1,male single,24,unskilled resident,419.28,good
0<=X<200,existing paid,radio/tv,1670,<100,<1,female div/sep/mar,22,skilled,367.4,bad
no checking,critical/other existing credit,new car,1224,<100,1<=X<4,male single,30,skilled,367.2,good
no checking,critical/other existing credit,radio/tv,522,500<=X<1000,>=7,male single,42,skilled,219.24,good
<0,existing paid,radio/tv,1498,<100,1<=X<4,female div/sep/mar,23,skilled,344.54,good
0<=X<200,delayed previously,radio/tv,1919,100<=X<500,<1,male single,30,high qualif/self emp/mgmt,575.7,bad
>=200,existing paid,radio/tv,745,<100,1<=X<4,female div/sep/mar,28,unskilled resident,208.6,bad
0<=X<200,existing paid,radio/tv,2063,<100,<1,male mar/wid/div/sep,30,high qualif/self emp/mgmt,618.9,good
0<=X<200,existing paid,education,6288,<100,1<=X<4,male single,42,skilled,2640.96,bad
no checking,critical/other existing credit,used car,6842,unknown,1<=X<4,male single,46,high qualif/self emp/mgmt,3147.32,good
no checking,existing paid,new car,3527,unknown,<1,male single,45,high qualif/self emp/mgmt,1587.15,good
no checking,existing paid,new car,1546,<100,1<=X<4,male single,31,unskilled resident,479.26,good
no checking,existing paid,furniture/equipment,929,unknown,4<=X<7,male single,31,skilled,287.99,good
no checking,critical/other existing credit,new car,1455,<100,4<=X<7,male single,42,unskilled resident,611.1,good
<0,existing paid,furniture/equipment,1845,<100,<1,female div/sep/mar,46,skilled,848.7,good
0<=X<200,no credits/all paid,new car,8358,500<=X<1000,<1,female div/sep/mar,30,skilled,2507.4,good
<0,no credits/all paid,furniture/equipment,3349,500<=X<1000,<1,male single,30,skilled,1004.7,bad
no checking,existing paid,new car,2859,unknown,unemployed,male single,38,high qualif/self emp/mgmt,1086.42,good
no checking,existing paid,furniture/equipment,1533,<100,<1,male mar/wid/div/sep,43,unskilled resident,659.19,bad
no checking,existing paid,radio/tv,3621,100<=X<500,>=7,male single,31,skilled,1122.51,bad
0<=X<200,critical/other existing credit,business,3590,<100,unemployed,male mar/wid/div/sep,40,unemp/unskilled non res,1436,good
<0,delayed previously,business,2145,<100,4<=X<7,male single,24,skilled,514.8,bad
0<=X<200,existing paid,used car,4113,500<=X<1000,<1,female div/sep/mar,28,skilled,1151.64,bad
no checking,existing paid,furniture/equipment,10974,<100,unemployed,female div/sep/mar,26,high qualif/self emp/mgmt,2853.24,bad
<0,existing paid,new car,1893,<100,1<=X<4,female div/sep/mar,29,skilled,548.97,good
<0,critical/other existing credit,radio/tv,1231,>=1000,>=7,female div/sep/mar,57,high qualif/self emp/mgmt,701.67,good
>=200,critical/other existing credit,radio/tv,3656,unknown,>=7,male single,49,unskilled resident,1791.44,good
0<=X<200,critical/other existing credit,radio/tv,1154,<100,>=7,male single,37,unskilled resident,426.98,good
<0,existing paid,new car,4006,<100,1<=X<4,male single,45,unskilled resident,1802.7,bad
0<=X<200,existing paid,furniture/equipment,3069,100<=X<500,>=7,male single,30,skilled,920.7,good
no checking,critical/other existing credit,radio/tv,1740,<100,>=7,male mar/wid/div/sep,30,skilled,522,good
0<=X<200,delayed previously,new car,2353,<100,1<=X<4,male mar/wid/div/sep,47,skilled,1105.91,good
no checking,existing paid,new car,3556,unknown,1<=X<4,male single,29,skilled,1031.24,good
no checking,existing paid,radio/tv,2397,500<=X<1000,>=7,male single,35,skilled,838.95,bad
0<=X<200,existing paid,repairs,454,<100,<1,male mar/wid/div/sep,22,unskilled resident,99.88,good
0<=X<200,existing paid,radio/tv,1715,unknown,1<=X<4,female div/sep/mar,26,skilled,445.9,good
0<=X<200,critical/other existing credit,radio/tv,2520,500<=X<1000,1<=X<4,male single,23,unskilled resident,579.6,bad
no checking,existing paid,radio/tv,3568,<100,>=7,female div/sep/mar,54,high qualif/self emp/mgmt,1926.72,good
no checking,existing paid,radio/tv,7166,unknown,4<=X<7,male mar/wid/div/sep,29,skilled,2078.14,good
<0,critical/other existing credit,new car,3939,<100,1<=X<4,male single,40,unskilled resident,1575.6,good
0<=X<200,existing paid,repairs,1514,100<=X<500,1<=X<4,male single,22,skilled,333.08,good
no checking,existing paid,new car,7393,<100,1<=X<4,male single,43,unskilled resident,3178.99,good
<0,no credits/all paid,new car,1193,<100,unemployed,female div/sep/mar,29,unemp/unskilled non res,345.97,bad
<0,existing paid,business,7297,<100,>=7,male single,36,skilled,2626.92,bad
no checking,critical/other existing credit,radio/tv,2831,<100,1<=X<4,female div/sep/mar,33,skilled,934.23,good
>=200,existing paid,radio/tv,1258,500<=X<1000,1<=X<4,female div/sep/mar,57,unskilled resident,717.06,good
0<=X<200,existing paid,radio/tv,753,<100,1<=X<4,female div/sep/mar,64,skilled,481.92,good
0<=X<200,delayed previously,business,2427,unknown,>=7,male single,42,skilled,1019.34,good
no checking,delayed previously,new car,2538,<100,>=7,male single,47,unskilled resident,1192.86,bad
0<=X<200,no credits/all paid,new car,1264,100<=X<500,1<=X<4,male mar/wid/div/sep,25,skilled,316,bad
0<=X<200,critical/other existing credit,furniture/equipment,8386,<100,4<=X<7,male single,49,skilled,4109.14,bad
no checking,existing paid,business,4844,<100,unemployed,male single,33,high qualif/self emp/mgmt,1598.52,bad
>=200,existing paid,new car,2923,100<=X<500,1<=X<4,female div/sep/mar,28,high qualif/self emp/mgmt,818.44,good
<0,existing paid,used car,8229,<100,1<=X<4,male single,26,skilled,2139.54,bad
no checking,critical/other existing credit,furniture/equipment,2028,<100,4<=X<7,male single,30,unskilled resident,608.4,good
<0,critical/other existing credit,furniture/equipment,1433,<100,1<=X<4,female div/sep/mar,25,skilled,358.25,good
>=200,no credits/all paid,business,6289,<100,<1,male mar/wid/div/sep,33,skilled,2075.37,good
no checking,existing paid,radio/tv,1409,100<=X<500,unemployed,female div/sep/mar,64,skilled,901.76,good
<0,existing paid,used car,6579,<100,unemployed,male single,29,high qualif/self emp/mgmt,1907.91,good
0<=X<200,critical/other existing credit,radio/tv,1743,<100,>=7,male single,48,unskilled resident,836.64,good
no checking,critical/other existing credit,education,3565,unknown,<1,male single,37,unskilled resident,1319.05,good
no checking,no credits/all paid,radio/tv,1569,100<=X<500,>=7,male single,34,unskilled resident,533.46,good
<0,existing paid,radio/tv,1936,unknown,4<=X<7,male mar/wid/div/sep,23,unskilled resident,445.28,good
<0,existing paid,furniture/equipment,3959,<100,unemployed,male single,30,high qualif/self emp/mgmt,1187.7,good
no checking,existing paid,new car,2390,unknown,>=7,male single,50,skilled,1195,good
no checking,existing paid,furniture/equipment,1736,<100,4<=X<7,female div/sep/mar,31,unskilled resident,538.16,good
<0,existing paid,used car,3857,<100,1<=X<4,male mar/wid/div/sep,40,high qualif/self emp/mgmt,1542.8,good
no checking,existing paid,radio/tv,804,<100,>=7,male single,38,skilled,305.52,good
<0,existing paid,radio/tv,1845,<100,1<=X<4,male single,23,skilled,424.35,bad
0<=X<200,critical/other existing credit,used car,4576,100<=X<500,unemployed,male single,27,skilled,1235.52,good
0<=X<200,existing paid,radio/tv,5951,<100,1<=X<4,female div/sep/mar,22,skilled,1309.22,bad
<0,delayed previously,new car,4870,<100,1<=X<4,male single,53,skilled,2581.1,bad
0<=X<200,critical/other existing credit,new car,5234,<100,unemployed,male mar/wid/div/sep,28,high qualif/self emp/mgmt,1465.52,bad
0<=X<200,existing paid,new car,1295,<100,<1,female div/sep/mar,25,skilled,323.75,bad
<0,existing paid,business,4308,<100,<1,female div/sep/mar,24,skilled,1033.92,bad
<0,critical/other existing credit,new car,1199,<100,>=7,male single,60,unskilled resident,719.4,bad
<0,existing paid,radio/tv,1282,100<=X<500,1<=X<4,female div/sep/mar,32,unskilled resident,410.24,bad
0<=X<200,existing paid,used car,12579,<100,>=7,female div/sep/mar,44,high qualif/self emp/mgmt,5534.76,bad
<0,delayed previously,business,6836,<100,>=7,male single,63,skilled,4306.68,bad
0<=X<200,critical/other existing credit,radio/tv,4746,<100,<1,male single,25,unskilled resident,1186.5,bad
>=200,existing paid,radio/tv,2100,<100,1<=X<4,male single,37,skilled,777,bad
<0,critical/other existing credit,used car,6143,<100,>=7,female div/sep/mar,58,unskilled resident,3562.94,bad
0<=X<200,delayed previously,new car,2225,<100,>=7,male single,57,skilled,1268.25,bad
0<=X<200,existing paid,radio/tv,6468,unknown,unemployed,male single,52,high qualif/self emp/mgmt,3363.36,bad
<0,critical/other existing credit,furniture/equipment,6229,<100,<1,female div/sep/mar,23,unskilled resident,1432.67,bad
0<=X<200,no credits/all paid,business,1953,<100,>=7,male single,61,high qualif/self emp/mgmt,1191.33,bad
0<=X<200,no credits/all paid,business,14421,<100,1<=X<4,male single,25,skilled,3605.25,bad
no checking,existing paid,education,1819,<100,1<=X<4,male single,37,skilled,673.03,bad
<0,existing paid,education,1977,unknown,>=7,male single,40,high qualif/self emp/mgmt,790.8,bad
<0,existing paid,radio/tv,3965,<100,<1,male single,34,skilled,1348.1,bad
no checking,existing paid,radio/tv,5943,unknown,<1,female div/sep/mar,44,skilled,2614.92,bad
0<=X<200,existing paid,education,12612,100<=X<500,1<=X<4,male single,47,skilled,5927.64,bad
<0,no credits/all paid,repairs,1108,<100,4<=X<7,male single,28,skilled,310.24,bad
no checking,critical/other existing credit,radio/tv,797,unknown,>=7,female div/sep/mar,33,unskilled resident,263.01,bad
0<=X<200,no credits/all paid,business,15945,<100,<1,male single,58,skilled,9248.1,bad
0<=X<200,critical/other existing credit,other,11938,<100,1<=X<4,male single,39,high qualif/self emp/mgmt,4655.82,bad
no checking,no credits/all paid,new car,6458,<100,>=7,male single,39,high qualif/self emp/mgmt,2518.62,bad
no checking,critical/other existing credit,new car,7855,<100,1<=X<4,female div/sep/mar,25,skilled,1963.75,bad
<0,existing paid,radio/tv,7174,unknown,4<=X<7,female div/sep/mar,30,high qualif/self emp/mgmt,2152.2,bad
<0,critical/other existing credit,furniture/equipment,4281,500<=X<1000,1<=X<4,female div/sep/mar,23,skilled,984.63,bad
<0,existing paid,radio/tv,1835,<100,1<=X<4,female div/sep/mar,25,skilled,458.75,bad
0<=X<200,existing paid,furniture/equipment,1924,unknown,<1,female div/sep/mar,27,skilled,519.48,bad
0<=X<200,existing paid,repairs,639,<100,1<=X<4,male single,30,skilled,191.7,bad
<0,critical/other existing credit,new car,3499,<100,1<=X<4,female div/sep/mar,29,skilled,1014.71,bad
<0,delayed previously,education,6887,<100,1<=X<4,male single,29,skilled,1997.23,bad
0<=X<200,existing paid,radio/tv,766,500<=X<1000,1<=X<4,male single,66,unskilled resident,505.56,bad
<0,existing paid,furniture/equipment,2462,<100,1<=X<4,male single,22,skilled,541.64,bad
<0,existing paid,furniture/equipment,1282,<100,1<=X<4,female div/sep/mar,20,skilled,256.4,bad
<0,existing paid,furniture/equipment,1131,<100,unemployed,female div/sep/mar,33,skilled,373.23,bad
0<=X<200,critical/other existing credit,business,1935,<100,>=7,male mar/wid/div/sep,31,skilled,599.85,bad
<0,no credits/all paid,new car,950,<100,>=7,male single,33,skilled,313.5,bad
0<=X<200,delayed previously,furniture/equipment,2064,<100,unemployed,female div/sep/mar,34,high qualif/self emp/mgmt,701.76,bad
<0,delayed previously,education,3414,<100,<1,male single,26,skilled,887.64,bad
no checking,no credits/all paid,used car,7485,unknown,unemployed,female div/sep/mar,53,high qualif/self emp/mgmt,3967.05,bad
no checking,delayed previously,business,9572,<100,<1,male mar/wid/div/sep,28,skilled,2680.16,bad
0<=X<200,delayed previously,business,4455,<100,1<=X<4,male mar/wid/div/sep,30,high qualif/self emp/mgmt,1336.5,bad
<0,no credits/all paid,new car,1647,unknown,1<=X<4,male single,40,unskilled resident,658.8,bad
0<=X<200,critical/other existing credit,new car,884,<100,>=7,male single,36,skilled,318.24,bad
0<=X<200,no credits/all paid,used car,5129,<100,>=7,female div/sep/mar,74,high qualif/self emp/mgmt,3795.46,bad
<0,existing paid,radio/tv,674,100<=X<500,4<=X<7,male mar/wid/div/sep,20,skilled,134.8,bad
no checking,existing paid,business,4591,>=1000,1<=X<4,male single,54,high qualif/self emp/mgmt,2479.14,bad
0<=X<200,no credits/all paid,business,3844,100<=X<500,4<=X<7,male single,34,unskilled resident,1306.96,bad
0<=X<200,existing paid,business,3915,<100,1<=X<4,male single,36,skilled,1409.4,bad
0<=X<200,existing paid,radio/tv,3031,100<=X<500,1<=X<4,male single,21,skilled,636.51,bad
0<=X<200,critical/other existing credit,education,1501,<100,>=7,female div/sep/mar,34,high qualif/self emp/mgmt,510.34,bad
0<=X<200,existing paid,furniture/equipment,951,100<=X<500,<1,female div/sep/mar,27,skilled,256.77,bad
0<=X<200,delayed previously,furniture/equipment,4297,<100,>=7,male mar/wid/div/sep,40,high qualif/self emp/mgmt,1718.8,bad
<0,existing paid,retraining,902,<100,4<=X<7,male mar/wid/div/sep,21,skilled,189.42,bad
<0,no credits/all paid,business,5293,<100,unemployed,male single,50,skilled,2646.5,bad
>=200,delayed previously,business,1908,<100,>=7,male single,66,high qualif/self emp/mgmt,1259.28,bad
0<=X<200,existing paid,radio/tv,10961,>=1000,4<=X<7,male single,27,skilled,2959.47,bad
<0,existing paid,furniture/equipment,7865,<100,>=7,male single,53,high qualif/self emp/mgmt,4168.45,bad
no checking,existing paid,radio/tv,1478,<100,4<=X<7,male single,22,skilled,325.16,bad
>=200,existing paid,radio/tv,4210,<100,1<=X<4,male single,26,skilled,1094.6,bad
<0,existing paid,radio/tv,1823,<100,unemployed,male single,30,high qualif/self emp/mgmt,546.9,bad
0<=X<200,existing paid,new car,14555,unknown,unemployed,male single,23,unemp/unskilled non res,3347.65,bad
0<=X<200,existing paid,business,2767,100<=X<500,>=7,male mar/wid/div/sep,61,unskilled resident,1687.87,bad
<0,existing paid,new car,915,unknown,>=7,female div/sep/mar,29,skilled,265.35,bad
<0,no credits/all paid,used car,4605,<100,>=7,male single,24,skilled,1105.2,bad
no checking,existing paid,radio/tv,433,<100,unemployed,female div/sep/mar,22,skilled,95.26,bad
0<=X<200,existing paid,new car,2150,<100,1<=X<4,female div/sep/mar,24,skilled,516,bad
<0,no credits/all paid,radio/tv,2149,<100,1<=X<4,male mar/wid/div/sep,29,skilled,623.21,bad
0<=X<200,existing paid,radio/tv,802,<100,>=7,male single,37,skilled,296.74,bad
<0,existing paid,new car,8978,<100,>=7,male mar/wid/div/sep,45,high qualif/self emp/mgmt,4040.1,bad
0<=X<200,existing paid,radio/tv,3060,<100,4<=X<7,male single,28,skilled,856.8,bad
<0,existing paid,repairs,11998,<100,<1,male mar/wid/div/sep,34,unskilled resident,4079.32,bad
no checking,existing paid,furniture/equipment,4611,<100,<1,female div/sep/mar,32,skilled,1475.52,bad
<0,delayed previously,radio/tv,1024,<100,<1,male mar/wid/div/sep,48,skilled,491.52,bad
0<=X<200,existing paid,used car,9398,<100,<1,male mar/wid/div/sep,28,high qualif/self emp/mgmt,2631.44,bad
0<=X<200,existing paid,furniture/equipment,9960,<100,<1,female div/sep/mar,26,skilled,2589.6,bad
0<=X<200,no credits/all paid,radio/tv,3804,<100,1<=X<4,female div/sep/mar,42,skilled,1597.68,bad
>=200,critical/other existing credit,new car,1344,unknown,4<=X<7,male single,37,unskilled resident,497.28,bad
no checking,critical/other existing credit,new car,10127,500<=X<1000,1<=X<4,male single,44,skilled,4455.88,bad
<0,existing paid,radio/tv,727,100<=X<500,<1,male mar/wid/div/sep,33,unskilled resident,239.91,bad
0<=X<200,existing paid,furniture/equipment,1237,<100,1<=X<4,female div/sep/mar,24,skilled,296.88,bad
0<=X<200,existing paid,new car,685,<100,4<=X<7,male mar/wid/div/sep,25,unskilled resident,171.25,bad
<0,no credits/all paid,furniture/equipment,2746,<100,>=7,male single,31,skilled,851.26,bad
0<=X<200,critical/other existing credit,new car,4249,<100,unemployed,male mar/wid/div/sep,28,high qualif/self emp/mgmt,1189.72,bad
<0,existing paid,radio/tv,1938,<100,<1,male mar/wid/div/sep,32,skilled,620.16,bad
no checking,critical/other existing credit,education,1864,100<=X<500,1<=X<4,female div/sep/mar,30,skilled,559.2,bad
0<=X<200,existing paid,new car,7408,100<=X<500,<1,female div/sep/mar,24,high qualif/self emp/mgmt,1777.92,bad
no checking,critical/other existing credit,used car,11590,100<=X<500,1<=X<4,female div/sep/mar,24,unskilled resident,2781.6,bad
<0,no credits/all paid,furniture/equipment,4110,<100,>=7,male single,23,skilled,945.3,bad
<0,critical/other existing credit,furniture/equipment,3384,<100,1<=X<4,male mar/wid/div/sep,44,high qualif/self emp/mgmt,1488.96,bad
<0,existing paid,furniture/equipment,1275,unknown,1<=X<4,female div/sep/mar,24,skilled,306,bad
0<=X<200,critical/other existing credit,education,1136,>=1000,>=7,male single,32,skilled,363.52,bad
0<=X<200,existing paid,furniture/equipment,959,<100,1<=X<4,female div/sep/mar,29,skilled,278.11,bad
<0,no credits/all paid,radio/tv,6199,<100,1<=X<4,male single,28,skilled,1735.72,bad
0<=X<200,existing paid,new car,1246,<100,<1,male single,23,unskilled resident,286.58,bad
no checking,delayed previously,radio/tv,4463,<100,1<=X<4,male single,26,high qualif/self emp/mgmt,1160.38,bad
<0,existing paid,furniture/equipment,2406,<100,4<=X<7,female div/sep/mar,23,skilled,553.38,bad
<0,existing paid,furniture/equipment,2473,<100,unemployed,male single,25,unemp/unskilled non res,618.25,bad
<0,existing paid,furniture/equipment,3446,<100,>=7,male single,42,skilled,1447.32,bad
0<=X<200,no credits/all paid,other,14782,100<=X<500,>=7,female div/sep/mar,60,high qualif/self emp/mgmt,8869.2,bad
<0,no credits/all paid,business,7685,<100,4<=X<7,female div/sep/mar,37,skilled,2843.45,bad
0<=X<200,existing paid,new car,14318,<100,>=7,male single,57,high qualif/self emp/mgmt,8161.26,bad
0<=X<200,existing paid,used car,12976,<100,unemployed,female div/sep/mar,38,high qualif/self emp/mgmt,4930.88,bad
0<=X<200,existing paid,new car,1223,<100,>=7,male mar/wid/div/sep,46,skilled,562.58,bad
no checking,delayed previously,business,8648,<100,<1,male single,27,skilled,2334.96,bad
0<=X<200,existing paid,radio/tv,2039,<100,<1,male mar/wid/div/sep,22,skilled,448.58,bad
>=200,critical/other existing credit,new car,939,500<=X<1000,4<=X<7,male mar/wid/div/sep,28,skilled,262.92,bad
no checking,critical/other existing credit,business,2292,<100,unemployed,male single,42,high qualif/self emp/mgmt,962.64,bad
<0,existing paid,new car,1381,unknown,1<=X<4,female div/sep/mar,35,skilled,483.35,bad
<0,existing paid,new car,2579,<100,<1,male single,33,unskilled resident,851.07,bad
0<=X<200,existing paid,new car,1042,unknown,1<=X<4,female div/sep/mar,33,skilled,343.86,bad
0<=X<200,existing paid,furniture/equipment,2762,unknown,>=7,female div/sep/mar,25,skilled,690.5,bad
<0,critical/other existing credit,repairs,1190,<100,unemployed,female div/sep/mar,55,unemp/unskilled non res,654.5,bad
0<=X<200,existing paid,other,13280,<100,1<=X<4,male single,29,high qualif/self emp/mgmt,3851.2,bad
0<=X<200,existing paid,radio/tv,1484,unknown,1<=X<4,male mar/wid/div/sep,25,skilled,371,bad
>=200,no credits/all paid,business,609,<100,<1,female div/sep/mar,26,unemp/unskilled non res,158.34,bad
no checking,existing paid,education,7190,<100,>=7,male single,41,unskilled resident,2947.9,bad
0<=X<200,critical/other existing credit,furniture/equipment,5096,<100,1<=X<4,female div/sep/mar,30,high qualif/self emp/mgmt,1528.8,bad
<0,existing paid,new car,1842,<100,<1,female div/sep/mar,34,skilled,626.28,bad
0<=X<200,delayed previously,repairs,1512,>=1000,1<=X<4,male mar/wid/div/sep,61,skilled,922.32,bad
<0,existing paid,new car,4817,<100,4<=X<7,male single,31,skilled,1493.27,bad
<0,existing paid,used car,3386,<100,>=7,male single,35,skilled,1185.1,bad
<0,delayed previously,radio/tv,1659,<100,<1,female div/sep/mar,29,unskilled resident,481.11,bad
0<=X<200,existing paid,radio/tv,3092,100<=X<500,<1,male mar/wid/div/sep,22,skilled,680.24,bad
<0,existing paid,education,448,<100,<1,female div/sep/mar,23,skilled,103.04,bad
<0,existing paid,new car,654,<100,1<=X<4,male single,28,unskilled resident,183.12,bad
